size,p_nu,p_alpha,p_beta,p_mu,p_lambda,q_95,q_99,p_tex
1000,0.5,5,0,0.7,0.6,40.9262470156172,64.9770292440246,"n_ 1 _nu_ 2 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.5,5,0,0.7,1.1,24.0396213798264,37.355777820215,"n_ 1 _nu_ 2 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.5,5,0,0.7,4,8.28635113884149,12.185749412293,"n_ 1 _nu_ 2 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.5,5,0,1.8,0.1,226.914575152585,369.1333569635,"n_ 1 _nu_ 2 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.5,5,0,1.8,0.6,45.9728070616086,70.4371354380595,"n_ 1 _nu_ 2 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.5,5,0,1.8,1.1,27.7034024541203,41.3315756542348,"n_ 1 _nu_ 2 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.5,5,0,1.8,4,10.1401766639506,14.2098139969306,"n_ 1 _nu_ 2 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,1.4,-0.5,0,0.7,0.1,-0.396840873597064,1.50188879334852,"n_ 1 _nu_ 3 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,1.4,-0.5,0,0.7,0.6,1.10633949186071,2.39640860505143,"n_ 1 _nu_ 3 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,1.4,-0.5,0,0.7,1.1,1.19165522944237,2.29346828705258,"n_ 1 _nu_ 3 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,1.4,-0.5,0,0.7,4,1.04229078904037,1.77419338952239,"n_ 1 _nu_ 3 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,1.4,-0.5,0,1.8,0.1,-0.584404139890193,1.4401650758796,"n_ 1 _nu_ 3 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,1.4,-0.5,0,1.8,0.6,1.09579626466253,2.43849432029676,"n_ 1 _nu_ 3 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,1.4,-0.5,0,1.8,1.1,1.21763713881296,2.36917589383239,"n_ 1 _nu_ 3 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,1.4,-0.5,0,1.8,4,1.12291492545232,1.90598484937852,"n_ 1 _nu_ 3 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
